years,avg_tmin_values
2000,5.946208851847547
2001,6.145852551875231
2002,6.004049299486409
2003,6.037063520428572
2004,6.021333670558197
2005,6.169516179728073
2006,6.283985832694048
2007,6.1674947232164605
2008,5.696120893770548
2009,5.833390416642348
2010,5.886456620515035
2011,5.869894969594625
2012,5.901066520807829
2013,4.805531868811788
2014,4.8464331214487535
2015,5.572625217424796
2016,5.767005165544125
2017,5.581051157717859
2018,5.227392561675342
2019,5.0811209755007445
2020,5.595441411498412
2021,5.312323428843839
2022,5.205808713504069
2023,1.267882545758386
