YEAR,avg_tavg,std_tavg,avg_prcp,std_prcp,std_tavg_scaled,std_prcp_scaled,temp_index,prcp_index,climate_index
2000,10.85702453182277,12.814417222917633,2.3170405433937082,7.7897242711209795,25.5708846941597,9.012491055123165,0.30434782608695654,0.21739130434782608,0.2608695652173913
2001,11.127678010201256,12.852632914337082,2.2009191440418943,7.530077534038613,25.647143256823533,8.712087110901145,0.43478260869565216,0.043478260869565216,0.2391304347826087
2002,11.161358735173573,12.692223431059798,2.0767424192601753,7.325624239707132,25.327049698967667,8.475540421670543,0.08695652173913043,0.0,0.043478260869565216
2003,11.295375070876338,12.708922847269925,2.1971581496716843,7.549741046479207,25.36037301277434,8.734837239636787,0.13043478260869565,0.08695652173913043,0.10869565217391304
2004,11.050639947414009,12.557146841327175,2.309188301844424,7.816900465740142,25.057507367010817,9.04393314503455,0.043478260869565216,0.2608695652173913,0.15217391304347827
2005,10.951301155499163,12.848775210189103,2.1743652003106604,7.6266108227691465,25.639445293955916,8.823773400546973,0.391304347826087,0.17391304347826086,0.28260869565217395
2006,10.744879180386818,13.13861874250497,2.199957423548382,7.584213994301696,26.217821619251612,8.774721466995864,0.6086956521739131,0.13043478260869565,0.3695652173913044
2007,10.936145460267824,12.837626504955312,2.3316864710671377,8.058206270222659,25.617198300506022,9.323117148056395,0.34782608695652173,0.391304347826087,0.3695652173913043
2008,10.568679291627538,13.035294079727004,2.527727575298309,8.426775511763504,26.011639551663468,9.749541354737897,0.5217391304347826,0.5652173913043478,0.5434782608695652
2009,10.654943466044982,13.336856286405535,2.5911728358130643,8.3779775781697,26.61340023113488,9.693083523277405,0.8260869565217391,0.5217391304347826,0.6739130434782609
2010,10.786988093880156,13.466953561360755,2.697422287256939,8.784104719879704,26.873006451147347,10.162961160085905,0.9565217391304348,0.8695652173913043,0.9130434782608696
2011,10.610269530336145,13.261432202918716,2.688775754570339,8.63097269890803,26.462893149271267,9.985791735183843,0.7391304347826086,0.6956521739130435,0.717391304347826
2012,10.833341176311711,13.498515688378333,2.4229799660745432,7.981076390919204,26.935987973961005,9.233880055303038,1.0,0.30434782608695654,0.6521739130434783
2013,10.794176833010795,13.156874343032491,2.6382376883144407,8.563954098682602,26.254250264268496,9.908253106852955,0.6521739130434783,0.6521739130434783,0.6521739130434783
2014,11.138869488733125,12.732145558544516,2.630964606062541,8.349807074642323,25.406713416864378,9.660491046031446,0.17391304347826086,0.4782608695652174,0.32608695652173914
2015,11.252586652894463,12.284561513339598,2.862997052900624,9.430017860551018,24.51356940478931,10.910264427836745,0.0,1.0,0.5
2016,10.674048241458452,12.813500994298675,2.7307500525855115,8.707945283686072,25.569056380319026,10.074846842612182,0.2608695652173913,0.782608695652174,0.5217391304347826
2017,10.613055116891088,12.869818503826494,2.808505277456269,9.05580853172105,25.68143671860102,10.47731479939779,0.4782608695652174,0.9565217391304348,0.7173913043478262
2018,10.304740883298273,13.209172979844515,2.8833397252412203,9.018828963506166,26.358611031388694,10.434530483013894,0.6956521739130435,0.9130434782608695,0.8043478260869565
2019,10.172535015115654,13.035457257087288,2.797570568305338,8.452781104315829,26.011965168458357,9.77962909110745,0.5652173913043478,0.6086956521739131,0.5869565217391304
2020,10.614802337654407,12.760299083115298,2.746217512912328,8.654049597323983,25.46289314927126,10.012491055123165,0.21739130434782608,0.7391304347826086,0.47826086956521735
2021,9.882336489629179,13.374257030517391,2.770348087531738,8.754140456816193,26.6880325845633,10.128293353699688,0.9130434782608695,0.8260869565217391,0.8695652173913043
2022,10.483783457609187,13.2782689369138,2.616720112293991,8.305715356124946,26.496490477665144,9.609478172544247,0.782608695652174,0.43478260869565216,0.6086956521739131
2023,6.560591505781151,13.340284242068075,2.6709662129870315,7.994422181735732,26.62024064045343,9.249320758487285,0.8695652173913043,0.34782608695652173,0.6086956521739131
